ID fornecimento,Data,ID Und Reab,Política Pública,Origem das mudas,Finalidade da doação,SomaDequant
2899,27-nov.-23,2158,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2900,27-nov.-23,2297,Programa Reflorestar (convencional),Granja do Ipê,Convencional,700
2901,24-nov.-23,2298,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,100
2902,28-nov.-23,2146,Programa Reflorestar (convencional),Granja do Ipê,Convencional,100
2903,28-nov.-23,2186,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2904,28-nov.-23,2027,Programa Reflorestar (convencional),Granja do Ipê,Convencional,600
2905,29-nov.-23,2251,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2906,01-dez.-23,1795,Programa Reflorestar (convencional),Granja do Ipê,Convencional,40
2907,29-nov.-23,2157,Programa Reflorestar (convencional),Granja do Ipê,Convencional,450
2908,29-nov.-23,1388,Programa Reflorestar (convencional),Granja do Ipê,Convencional,300
2909,01-dez.-23,2167,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2910,01-dez.-23,358,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2911,04-dez.-23,2212,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2912,05-dez.-23,2182,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2914,04-dez.-23,2282,Programa Reflorestar (convencional),Granja do Ipê,Convencional,100
2915,05-dez.-23,1961,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2916,06-dez.-23,2299,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,50
2917,05-dez.-23,2300,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,30
2918,06-dez.-23,2301,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2919,07-dez.-23,1745,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,50
2920,08-dez.-23,2162,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2921,07-dez.-23,312,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2922,08-dez.-23,2247,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2923,08-dez.-23,2276,Programa Reflorestar (convencional),Granja do Ipê,Convencional,450
2924,11-dez.-23,2061,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2925,12-dez.-23,2230,Programa Reflorestar (convencional),Granja do Ipê,Convencional,225
2926,11-dez.-23,2280,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2927,11-dez.-23,1135,Programa Reflorestar (convencional),Granja do Ipê,Convencional,200
2928,11-dez.-23,1842,Programa Reflorestar (convencional),Granja do Ipê,Convencional,50
2929,11-dez.-23,2284,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2930,11-dez.-23,1100,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2931,11-dez.-23,2157,Programa Reflorestar (convencional),Granja do Ipê,Convencional,170
2932,12-dez.-23,2315,Programa Reflorestar (convencional),Granja do Ipê,Convencional,65
2933,12-dez.-23,2316,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2934,14-dez.-23,1967,Programa Reflorestar (convencional),Granja do Ipê,Convencional,200
2935,12-dez.-23,2231,Programa Reflorestar (convencional),Granja do Ipê,Convencional,1000
2937,14-dez.-23,1962,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,1000
2938,14-dez.-23,1975,Programa Reflorestar (convencional),Granja do Ipê,Convencional,270
